Plot,Date,ALHU,AMCR,AMRO,ANHU,BHCO,BHGR,BLPH,BRCR,BTPI,BUSH,CALT,CASJ,CBCH,CEDW,COHA,CORA,DEJU,DOWO,FOSP,GCSP,GHOW,HAWO,HETH,HOFI,HOWR,HUVI,LEGO,MODO,NOFL,NUWO,OCWA,OSFL,PAWR,PISI,PSFL,PUFI,PYNU,RBSA,RCKI,ROPI,RSHA,RTHA,RU/ALHU,SOSP,SPTO,STJA,SWTH,TOWA,VATH,WCSP,WEBL,WETA,WIWA,WTSP,YEWA,YRWA
4. Mystery,3/27/2022,,,,1,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,1,,,,2,,,,,,1,,,1,,1,,,,,,,,1
4. Mystery,4/9/2022,,,,1,,,,,,,,,,,,,3,,1,,,,1,2,,,,,,,,,1,,,,,,,,,,1,2,,2,,,,,,,1,,,2
4. Mystery,4/24/2022,,,1,1,,,,,,,,,,,,2,,,2,,,,,2,,,,,,,,,1,,1,,,,,,,,,2,,,,1,,,,,,,,
4. Mystery,5/6/2022,,,,2,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,2,,1,,,,,,,1,,,
4. Mystery,5/29/2022,,,2,1,,1,,,,,,,,,,2,2,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4. Mystery,6/4/2022,,,1,1,,,,,,,,,1,,,,2,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,
4. Mystery,6/12/2022,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,1,,,
4. Mystery,7/10/2022,,,,,,,,,2,,,,,,,,1,,,,,,,2,,,,,,,,,1,,,,,,,,,,,3,,,1,,,,,,,,,
4. Mystery,7/30/2022,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,1,,,
4. Mystery,8/11/2022,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,1,,,,,2,,,,,,,,,,,1,,1,,,,,,,1,,,
4. Mystery,8/31/2022,,,,1,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,0,,,,,1,,,,,,2,,,,,,,,,,,,
4. Mystery,9/14/2022,,,,1,,,,,,,,,1,,,,,1,,,,1,,,1,,,,,,,,2,,,,,,,,,,1,3,,,,,,,,,,,2,
4. Mystery,9/29/2022,,,,5,,1,,1,,,,,2,,,,,,1,,,,1,,,,,,,,,,1,,2,,1,,,,,,,2,,2,1,2,,,,,1,,1,
4. Mystery,10/12/2022,,,1,,,,,,,,,,,,,,,,1,1,,,3,1,,,,,,,1,,2,,,,1,,1,,,,,1,,2,,1,,,,,,,,
4. Mystery,10/26/2022,,,,2,,,,1,,13,,1,2,,,,2,1,2,,,,,1,1,,,,,,,,,,,,,,1,,,,,3,,1,,,,,,,,,,
4. Mystery,11/13/2022,,,,,,,,,,,,,,,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
4. Mystery,11/23/2022,,,,2,,,,,,2,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,2
4. Mystery,12/5/2022,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,3,,,,,2,,1,,,,,,,,,,
4. Mystery,12/20/2022,,,,1,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
5. Summit,1/15/2022,,,,2,,,1,,,,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,1,,,3,,,,,,2,,,,,,
5. Summit,1/30/2022,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,1,,,,,1,2,,,,,,2
5. Summit,2/13/2022,,,,2,,,,,,,2,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,3,,,,,3,,,,1,,2,,,,,,
5. Summit,2/20/2022,2,,,1,,,,,,,,,2,,,,2,,,,,,,,,2,,,,,,,1,,,,1,,1,,,,,1,,,,,1,1,,,,,,
5. Summit,3/12/2022,,,1,,,,,,,,2,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,2,2,,,,1,,,,,,,,
5. Summit,3/27/2022,1,,1,2,,,,,,2,1,,,,,,1,,1,,,,,2,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,1,,,
5. Summit,4/9/2022,,,,2,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,1,,,2
5. Summit,4/24/2022,1,,,2,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,1,,,1
5. Summit,5/6/2022,1,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,2,,,1,,,
5. Summit,5/29/2022,1,,,,,,,,1,,,,,,,3,2,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,3,,,,,,1,,,1,,,
5. Summit,6/4/2022,1,,1,1,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1
5. Summit,6/12/2022,,,,,,,,,,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,1,,,,,,
5. Summit,7/10/2022,1,,1,2,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,1,,3,,,,,,,,,,,,
5. Summit,7/30/2022,1,,,1,,,,,,,1,,,,,,1,1,,,,,,9,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,
5. Summit,8/11/2022,,,,3,,,,,,,2,,2,,,,,,,,,,,10,,,,,,,,,,,1,,1,,,,,,,4,,1,,,,2,,,1,,,
5. Summit,8/31/2022,,,,,,,,,,,2,,,,,,5,,,,,,,3,,,,,,1,,,,,1,,,,,,,,,3,,,,1,,,,,,,,
5. Summit,9/14/2022,,,6,2,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,1,,,,1,,1,,,,
5. Summit,9/29/2022,,,,2,,,,,,,,,1,,,2,2,,1,,,,1,1,1,,,,,,,,,,,,,,,,2,1,,2,,1,,,,,,,,,1,
5. Summit,10/12/2022,,,,1,,,,,,,,,,,,,1,,2,1,,,1,1,,,1,,1,,,,1,,,,1,,,,,,,3,,,,,,,,,,,,
5. Summit,10/26/2022,,,,3,,,1,,1,,,,1,,,,2,,,,,,3,1,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,1
5. Summit,11/13/2022,,,,2,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,2,,2,,,1,,1,,,,,,1,,,,,,
5. Summit,11/23/2022,,,,1,,,,,,,,,,,,,,,1,9,,1,2,2,,,,,,1,,,1,,,,,,1,,,,,1,,1,,,,1,,,,,,1
5. Summit,12/5/2022,,,,2,,,,,,,,,1,,,,2,,2,3,,,3,,,,,,,,,,,,,,,,1,,,,,3,1,,,1,,5,,,,,,
5. Summit,12/20/2022,,,,2,,,,,,,,,2,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,2,,,,,2,,,,,,1,,,,,,
6. Nike,1/15/2022,,,1,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
6. Nike,1/30/2022,,,,,,,,,,3,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
6. Nike,2/13/2022,,,,3,,,,,,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
6. Nike,2/20/2022,,,,2,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Nike,3/12/2022,,,,1,,,1,,,,,,3,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
6. Nike,3/27/2022,,,,1,,,,,,,,,2,,,1,,,,,,,1,,,1,,,,,,,,,,,2,,1,,,,1,2,,,,,,,,,,,,
6. Nike,4/9/2022,,,,,,,,,,,,,,,,,4,,,,,,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
6. Nike,4/24/2022,,,2,1,,,1,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
6. Nike,5/6/2022,,,,1,,,,,,,,,,,,2,5,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
6. Nike,5/29/2022,,,1,1,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
6. Nike,6/4/2022,,1,,,,,,,,,,,2,,,,2,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Nike,6/12/2022,1,,,1,,,,,,,,,2,,,,4,,,,,,,2,,1,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
6. Nike,7/10/2022,,,1,,,,,,1,,,1,2,,,2,3,,,,,,,,,,4,,,,,,1,,,,,,,,,,,3,,,,,,1,,,,,,
6. Nike,7/30/2022,,,,,,,,,,,,,,,,2,2,,,,,,,2,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
6. Nike,8/11/2022,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,
6. Nike,8/31/2022,,,,1,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
6. Nike,9/14/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,1,
6. Nike,9/29/2022,,,,2,,,1,,,,,,2,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
6. Nike,10/12/2022,,,,,,,,,,,,,,,,,1,,2,8,,,,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
6. Nike,10/26/2022,,,,,,,,,,,,,3,,,,3,,1,1,,,3,,,1,,,,,,,,,,,1,,2,,,,,,,,,1,,,,,,1,,
6. Nike,11/13/2022,,,2,1,,,,,,,,,,,,1,,,1,1,,,1,1,1,,,,,,,,1,,,,,,1,,,,,1,,,,1,,1,,,,3,,
6. Nike,11/23/2022,,,,1,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,1,,2,,,,,1,,,,,,,,,,,,
6. Nike,12/5/2022,,,1,1,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,1,,,1,1,,2,,,1,,1,,,,2,,,,,,,,
6. Nike,12/20/2022,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,1
7. Quarry,1/15/2022,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
7. Quarry,1/30/2022,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,
7. Quarry,2/13/2022,,,,2,,,,,,,,,1,3,,,2,,,,,,,5,,1,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,
7. Quarry,2/20/2022,,,,1,,,,,,,,,,,,2,2,,1,,,,,,,,2,,,,,,,,,,,,4,,,,,4,,,,,,,,,,,,
7. Quarry,3/12/2022,,,2,1,,,,,,,,,3,2,,,2,,,,,,1,,,1,,,,,,,,,,,,,1,,1,,,2,,,,,,,,,,,,
7. Quarry,3/27/2022,,,,,,,,,,,,,,,,2,2,,,,,,,1,,,,,1,1,,,1,,,,1,,,,,,1,2,,,,,,,,,,,,
7. Quarry,4/9/2022,,,1,2,,,,,,,,,,,,,3,,,,,,,3,,1,,,,,,,,,,,,,1,,1,,,3,,1,,1,,,,,,,,
7. Quarry,4/24/2022,,,,2,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,1,,1,,,,,1,,,
7. Quarry,5/6/2022,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,
7. Quarry,5/29/2022,,,,,1,,,,,,1,,,,,2,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
7. Quarry,6/4/2022,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,1,,,,,,,,,,
7. Quarry,6/12/2022,,,2,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,
7. Quarry,7/10/2022,,,,,,,,,,,,,,,,,2,,,,,,,4,,,1,,,,1,,,,,,2,,,,,,,3,,1,,,,,,,1,,,
7. Quarry,7/30/2022,,,1,1,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,1,,,
7. Quarry,8/11/2022,,,,2,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,1,,,,,,,,,,
7. Quarry,8/31/2022,,,2,,,,,,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,1,,,,
7. Quarry,9/14/2022,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
7. Quarry,9/29/2022,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,3,,1,,,,,,,,,,
7. Quarry,10/12/2022,,,,2,,,,,,,,,,,,1,,,,,1,,,1,1,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,
7. Quarry,10/26/2022,,,,,,,,,,,,,1,,,1,,,,,,,2,,1,1,,,,,,,,,1,,1,,1,,,,,1,,1,,,,,,,,,,
7. Quarry,11/13/2022,,,1,1,,,1,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,
7. Quarry,11/23/2022,,,,2,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1
7. Quarry,12/5/2022,,,2,3,,,,,,,,,,,,2,2,,1,,,,3,,,,,,,,,,,,,,2,,,,,,,1,,,,1,,,,,,,,
7. Quarry,12/20/2022,,,15,1,,,1,,,,,,2,,,,,,1,,,,1,,,,,1,,,,,,,,,2,,1,,,,,,,,,1,,,,,,,,1
8. Historic I,1/15/2022,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,
8. Historic I,1/30/2022,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
8. Historic I,2/13/2022,,,,2,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,3,,1,,,,,2,,,,,,1,,,,,,
8. Historic I,2/20/2022,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
8. Historic I,3/12/2022,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
8. Historic I,3/27/2022,,,,1,,,2,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,
8. Historic I,4/9/2022,,,,,,,,,,,,,2,,,,1,,,,,,,1,,,,,,,,,,,,,4,,,,,,,1,,1,,,,,,,,,,
8. Historic I,4/24/2022,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,
8. Historic I,5/6/2022,,,2,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
8. Historic I,5/29/2022,,,,1,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,1,,,,,,,,
8. Historic I,6/4/2022,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,
8. Historic I,6/12/2022,,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
8. Historic I,7/10/2022,,,,1,,,,,,,,,,,,,3,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
8. Historic I,7/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,
8. Historic I,8/11/2022,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
8. Historic I,8/31/2022,,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,2,,,,1,,,,,,,,
8. Historic I,9/14/2022,,,7,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,4,,,,1,,,,,,,,
8. Historic I,10/12/2022,,,,1,,,,,,,,,2,,,,1,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,2,,,,,,,,,,,,
8. Historic I,10/26/2022,,,,3,,,1,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,
8. Historic I,11/13/2022,,,2,1,,,,,,,,,,,,1,,,1,,,,2,,,1,,,,,,,,,,,,,1,,,1,,1,,1,,1,,,,,,,,
8. Historic I,11/23/2022,,,3,,,,,,,,,,,,,,,,5,,,,3,,,,,,,,,,,,,,2,,2,,,,,3,,,,1,,,,,,,,
8. Historic I,12/5/2022,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,
8. Historic I,12/20/2022,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1
8. Historic II,9/29/2022,,,1,1,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,1,,2,,,,,,,,,1,,,,1,,,,,,,,
9. Historic II,1/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,2,,,,,,,,,,,,
9. Historic II,1/30/2022,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
9. Historic II,2/13/2022,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,2,,1,,,,,2,,,,,,,,,,,,
9. Historic II,2/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,
9. Historic II,3/12/2022,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,2,,,,2,,,,,,,2,,2,,,,,,,,,,
9. Historic II,3/27/2022,,,,1,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,1,,2,,,,,,,,,,
9. Historic II,4/9/2022,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,1,,,
9. Historic II,4/24/2022,,,3,1,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,3,,2,,,,,,,1,,,
9. Historic II,5/6/2022,1,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
9. Historic II,5/29/2022,,,2,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
9. Historic II,6/4/2022,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,2,,,,,,,1,,,,,,,,,,,,
9. Historic II,6/12/2022,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,
9. Historic II,7/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,1,,,,,,,,,1,,,
9. Historic II,7/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,2,,,,,,,,,,,,
9. Historic II,8/11/2022,,,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
9. Historic II,8/31/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,
9. Historic II,9/14/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
9. Historic II,9/29/2022,,,,1,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,2,,,,,,,,,,,1,,1,,,,,,,,,,
9. Historic II,10/12/2022,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,
9. Historic II,10/26/2022,,,,1,,,,,,,,,,,,,1,,1,,,,2,,,,,,,,,,3,,,,1,,1,,,,,1,,1,,,,,,,,,,
9. Historic II,11/13/2022,,,,2,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,2,,,,1,,1,,,,,1,,,,,,,,,,,,
9. Historic II,11/23/2022,,,3,,,,,,,,,,,,,,,,3,,,1,,1,,,,,,1,,,1,,,,2,,1,,,,,2,,,,1,,,,,,,,
9. Historic II,12/5/2022,,,,2,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,
9. Historic II,12/20/2022,,,,2,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,2,,,,,,,,,2,,,,,,,,4
